productAsin,date,isVerified,ratingScore,reviewTitle,reviewDescription,model,Color,Storage,Sentiment,cleaned_reviews
B0BYLLR7QZ,9/21/2024,True,5,‼️🚨 BEST RENEWED IPHONE,"Overall Review ⭐️⭐️⭐️⭐️⭐️ - This was a super easy, affordable and quick solution to buying a phone in a pinch. I orde Red the product at 3pm on a Thursday and it was delive Red at my door by Friday lunch time. -The product came in the normal Amazon box packing with paper to insure a safe travel. The phone itself is in amazing condition, works great and is infact unlocked. Product Condition 🔥 -This iPhone had NO scratches NO dents and came prepackaged in amazons official renewal packaging. The phone itself was even wrapped in a plastic film to protect it. -The touch screen works great and has no scratches. - The camera has no scratches and the picture quality is 10/10. -My speaker works great and is loud 📢 compa Red to my previous phone. -The phone even came with a charger. Cons -The phone did not come charged so I had to charge it when it arrived. -The product was not up to date so I had to play around with set up",Apple iPhone 14,Purple,128GB,Positive,overall review super easy affordable quick solution buying phone pinch orde red product pm thursday delive red door friday lunch time product came normal amazon box packing paper insure safe travel phone amazing condition work great infact unlocked product condition iphone scratch dent came prepackaged amazon official renewal packaging phone even wrapped plastic film protect touch screen work great scratch camera scratch picture quality speaker work great loud compa red previous phone phone even came charger con phone come charged charge arrived product date play around set
B0BYLLR7QZ,1/5/2024,True,5,Wonderful product and would recommend!,"I had an older android and was having a hard time deciding what, and when to get, a new phone. I love Android and I was really intrigued with the Google and Asus phones. I have had a galaxy since the beginning of smart phones it would seem. Well, looking at all options as well, the  Red iPhone caught my attention solely in color. I know IPhone is a good phone, for the most part, everyone I know seems to have iPhone or Galaxy. I have never owned an iPhone and they are much more expensive than the phones I was looking at. But the  Red iPhone, I just kept coming back to. I started looking into the differences, and then started looking into refurbished. I have also never purchased a refurbished phone. The price difference for a “Premium” or “excellent” condition iPhone, was significantly cheaper than buying brand new. I went back and forth on Amazon, with different sellers based on reviews, and ended up landing in the option where it is sold and shipped by Amazon themselves (which I thought was more likely to be exactly what is described in their product page). I will say the first try to purchase did not go through, so there were some issues with the monthly insurance plan for the phone. But the second time it did go through, and I was having to wait probably 4 days for it to get here. I was so excited, like a kid waiting for Christmas to get here. Finally the iPhone arrived, and in absolute perfect condition. I went with the “premium refurbished” option. The delivery was inc Redibly secure and the driver was extra helpful before they arrived so we could time it. I opened the box and there is not one scratch or thing that would tell you that this isn’t a brand new phone. It comes with a charger, block and the phone information on a leaflet (that would otherwise be in the original iPhone packaging). I did wait to activate it, until I had time to go into a physical carrier store, but I backed up everything before I did that in my old phone. It took maybe 5 minutes for the associate at my carrier store, to set the iPhone up and transfer everything I wanted from my galaxy and the service, to the iPhone. I was worried based on other reviews that it could possibly not be unlocked to all carriers, but it was. One of the main reasons I chose to buy the refurbished option from the sold by/ships by Amazon option, because I trusted the accuracy of the description more. ALL THAT SAID beautiful phone, looks brand new, works like it’s brand new, has 100% battery life out of the box and is very easy to get used to (even if you have had an android all your adult life). I definitely recommend this product and Amazon as the seller to ensure you get what you are looking for. I am SO happy with my purchase and when it comes time to get a new phone a few years from now, I will be starting here this time! The  Red color is beautiful!!!",Apple iPhone 14,  Red,256GB,Positive,older android hard time deciding get new phone love android really intrigued google asus phone galaxy since beginning smart phone would seem well looking option well red iphone caught attention solely color know iphone good phone part everyone know seems iphone galaxy never owned iphone much expensive phone looking red iphone kept coming back started looking difference started looking refurbished also never purchased refurbished phone price difference premium excellent condition iphone significantly cheaper buying brand new went back forth amazon different seller based review ended landing option sold shipped amazon thought likely exactly described product page say first try purchase go issue monthly insurance plan phone second time go wait probably day get excited like kid waiting christmas get finally iphone arrived absolute perfect condition went premium refurbished option delivery inc redibly secure driver extra helpful arrived could time opened box one scratch thing would tell isnt brand new phone come charger block phone information leaflet would otherwise original iphone packaging wait activate time go physical carrier store backed everything old phone took maybe minute associate carrier store set iphone transfer everything wanted galaxy service iphone worried based review could possibly unlocked carrier one main reason chose buy refurbished option sold byships amazon option trusted accuracy description said beautiful phone look brand new work like brand new battery life box easy get used even android adult life definitely recommend product amazon seller ensure get looking happy purchase come time get new phone year starting time red color beautiful
B0BYLLR7QZ,2/8/2024,True,1,Brick Stolen Device,"If I could send negative stars I would. The phone looked great and it was a great deal;however the device was unable to be activated due to it being reported lost or stolen. This was for a teenager who had already been without a phone for 3days now having to return the device. The customer service representative had no idea what I was talking about. I’ve worked in the cell phone industry, when a phone especially an iPhone is reported lost or stolen you cannot activate the device ANYWHERE hence the name brick it’s basically as good as a brick. I was told nothing could be done about it while I just ship the phone back half to waive for my $700 to be refunded to me while my teenager is still waiting without a phone and I’m without money. I’ve also had all carriers and not one made me sit without a phone or a refund processed right away. To top it off I asked to speak to a supervisor and when I told the supervisor the phone was reported lost or stolen she called me a liar and told me that’s simply not true!! Amazon did not do its due diligence by inspecting the phone properly. There is a national database for lost/stolen phones if they did they job accurately and checked not one but both the IMEI’s since it only has an eSIM they would have caught that it was reported! But for an Amazon employee to call me a liar? Are you kidding me? Don’t buy a “renewed” device from Amazon or risk having a yourself $500-$700 brick losing out of money and being without a phone! Not even an adjustments c Redits nothing but being humiliated without money and no product.",Apple iPhone 14,Midnight,128GB,Positive,could send negative star would phone looked great great dealhowever device unable activated due reported lost stolen teenager already without phone day return device customer service representative idea talking ive worked cell phone industry phone especially iphone reported lost stolen cannot activate device anywhere hence name brick basically good brick told nothing could done ship phone back half waive refunded teenager still waiting without phone im without money ive also carrier one made sit without phone refund processed right away top asked speak supervisor told supervisor phone reported lost stolen called liar told thats simply true amazon due diligence inspecting phone properly national database loststolen phone job accurately checked one imeis since esim would caught reported amazon employee call liar kidding dont buy renewed device amazon risk brick losing money without phone even adjustment c redits nothing humiliated without money product
B0BYLLR7QZ,10/22/2024,True,5,Excelente,"Compré el iPhone en reacondicionado premium y llegó en una caja nueva y con el 100% de batería,no tiene ni un solo raspón Excelente compra",Apple iPhone 14,Midnight,128GB,Neutral,compr el iphone en reacondicionado premium lleg en una caja nueva con el de baterano tiene ni un solo raspn excelente compra
B0BYLLR7QZ,8/30/2024,True,5,Excelente teléfono,Esta excelente y los recomiendo al 100%,Apple iPhone 14,Purple,256GB,Neutral,esta excelente los recomiendo al
B0BYLLR7QZ,8/17/2024,True,5,Muy bien,Llego con el 100 de batería y muy bien cuidado . Sin rayaduras,Apple iPhone 14,Blue,128GB,Neutral,llego con el de batera muy bien cuidado sin rayaduras
B0BYLLR7QZ,8/17/2024,True,5,Vale la pena el costo por la calidad,Funciona excelente,Apple iPhone 14,Starlight,128GB,Neutral,funciona excelente
B0BYLLR7QZ,7/4/2024,True,5,"Excelente compra, muy satisfecho y recomendable.","El teléfono llegó a tiempo, la estética del celular es impecable, la batería llegó al 100%, llevo dos días probándolo y todo excelente, para compras desde México cabe mencionar que este producto (iPhone 14) no acepta SIM física. no trae ranura para tal, sin embargo, viene desbloqueado y fui a TELCEL a que me activaran una nueva SIM electrónica (ESIM) cosa que no llevó mucho tiempo, y el teléfono ya está funcionando al 100. Es la primera vez que adquiero un producto re acondicionado, en este caso PREMIUM, y con esta experiencia lo volvería a hacer sin duda.",Apple iPhone 14,Midnight,512GB,Neutral,el telfono lleg tiempo la esttica del celular e impecable la batera lleg al llevo do da probndolo todo excelente para compras desde mxico cabe mencionar que este producto iphone acepta sim fsica trae ranura para tal sin embargo viene desbloqueado fui telcel que activaran una nueva sim electrnica esim cosa que llev mucho tiempo el telfono ya est funcionando al e la primera vez que adquiero un producto acondicionado en este caso premium con esta experiencia lo volvera hacer sin duda
B0BGQKY8S9,10/11/2024,True,5,Great phone!,"I’ve been using this phone for almost 3 months now, I have had absolutely zero issues with it so far. The phone came in perfect condition with no scratches, cracks, etc. The sound and camera quality of it is also absolutely perfect and the maximum battery capacity also came in at 100% and is still at that. The last phone I had received from Amazon had battery issues, it constantly restarted, came in with access glue around the screen, and ran slow, so I was pretty nervous ordering another phone off of here. But I am really glad I gave it another chance! I would definitely recommend!",Apple iPhone 13,Midnight,128GB,Positive,ive using phone almost month absolutely zero issue far phone came perfect condition scratch crack etc sound camera quality also absolutely perfect maximum battery capacity also came still last phone received amazon battery issue constantly restarted came access glue around screen ran slow pretty nervous ordering another phone really glad gave another chance would definitely recommend
B0BGQKY8S9,11/15/2024,True,5,Looks great,I bought my mom this iobone 13 as her iPhone 7 was going out & she needed to upgrade. Obviously she’s not into having the latest phones so we thought this was the best option. We got refurbished premium hoping we don’t need to return for whatever reason but making sure we are cove Red for at least a year. Looks great almost new. Has a very tiny scratch on the lower side of the front screen but nothing you can see right away. Came with 100% battery as you can see. Came with a charger that works just fine. Very well taken care of packaged well and all. Sound is good too and everything works fine so far. I will definitely buy again as the prices seem wayyyy more reasonable. I will update if anything changes.,Apple iPhone 13,Midnight,128GB,Positive,bought mom iobone iphone going needed upgrade obviously shes latest phone thought best option got refurbished premium hoping dont need return whatever reason making sure cove red least year look great almost new tiny scratch lower side front screen nothing see right away came battery see came charger work fine well taken care packaged well sound good everything work fine far definitely buy price seem wayyyy reasonable update anything change
